Method,Similarity_measure,Number_of_neighbors,Train_percentage,Test_percentage,Error_measure,Error_value,Time
User_based,row_mean_prediction,,70,30,RMSE,1.003866335649813,0.2917189598083496
User_based,row_mean_prediction,,70,30,MAE,0.7668037986488915,0.2917189598083496
User_based,mean_prediction,,70,50,RMSE,1.0773978525034755,0.22806477546691895
User_based,mean_prediction,,70,50,MAE,0.8994749567802507,0.22806477546691895
User_based,row_mean_prediction,,70,50,RMSE,0.9912778541310185,0.28937363624572754
User_based,row_mean_prediction,,70,50,MAE,0.7622653049816707,0.28937363624572754
User_based,mean_prediction,,90,10,RMSE,1.0719722167204946,0.23093700408935547
User_based,mean_prediction,,90,10,MAE,0.8956696048359217,0.23093700408935547
User_based,row_mean_prediction,,90,10,RMSE,0.9518259836674209,0.29398465156555176
User_based,row_mean_prediction,,90,10,MAE,0.7472404226453557,0.29398465156555176
User_based,mean_prediction,,90,20,RMSE,1.0665814338322763,0.2401564121246338
User_based,mean_prediction,,90,20,MAE,0.8905309251912678,0.2401564121246338
User_based,row_mean_prediction,,90,20,RMSE,0.945184510783778,0.29538941383361816
User_based,row_mean_prediction,,90,20,MAE,0.7393086804934769,0.29538941383361816
User_based,mean_prediction,,90,30,RMSE,1.0720406624714187,0.23948407173156738
User_based,mean_prediction,,90,30,MAE,0.892689050775412,0.23948407173156738
User_based,row_mean_prediction,,90,30,RMSE,0.9455409518817902,0.28710365295410156
User_based,row_mean_prediction,,90,30,MAE,0.736974436436207,0.28710365295410156
User_based,mean_prediction,,90,50,RMSE,1.0746469777601961,0.23072409629821777
User_based,mean_prediction,,90,50,MAE,0.8974379756939015,0.23072409629821777
User_based,row_mean_prediction,,90,50,RMSE,0.9484617688111501,0.2810189723968506
User_based,row_mean_prediction,,90,50,MAE,0.741318250269359,0.2810189723968506
Item_based,mean_prediction,,30,10,RMSE,1.0769354742402582,0.06745767593383789
Item_based,mean_prediction,,30,10,MAE,0.9017895976975866,0.06745767593383789
Item_based,row_mean_prediction,,30,10,RMSE,1.0718635530699672,0.10535979270935059
Item_based,row_mean_prediction,,30,10,MAE,0.8492338197137306,0.10535979270935059
Item_based,mean_prediction,,30,20,RMSE,1.0641410785410488,0.06751155853271484
Item_based,mean_prediction,,30,20,MAE,0.8887115214911542,0.06751155853271484
Item_based,row_mean_prediction,,30,20,RMSE,1.058767911185788,0.10529899597167969
Item_based,row_mean_prediction,,30,20,MAE,0.8347272898906289,0.10529899597167969
Item_based,mean_prediction,,30,30,RMSE,1.0681114392196764,0.0678720474243164
Item_based,mean_prediction,,30,30,MAE,0.8897064448970736,0.0678720474243164
Item_based,row_mean_prediction,,30,30,RMSE,1.071544495438382,0.10872697830200195
Item_based,row_mean_prediction,,30,30,MAE,0.8424491140817529,0.10872697830200195
Item_based,mean_prediction,,30,50,RMSE,1.0704527581974859,0.06992602348327637
Item_based,mean_prediction,,30,50,MAE,0.8927616237052546,0.06992602348327637
Item_based,row_mean_prediction,,30,50,RMSE,1.0631732576274238,0.10886120796203613
Item_based,row_mean_prediction,,30,50,MAE,0.8357322991263418,0.10886120796203613
Item_based,mean_prediction,,50,10,RMSE,1.0884427072043639,0.0711660385131836
Item_based,mean_prediction,,50,10,MAE,0.9112727074135438,0.0711660385131836
Item_based,row_mean_prediction,,50,10,RMSE,1.0566579928662196,0.10826778411865234
Item_based,row_mean_prediction,,50,10,MAE,0.8401354229115926,0.10826778411865234
Item_based,mean_prediction,,50,20,RMSE,1.0705750526357607,0.07115292549133301
Item_based,mean_prediction,,50,20,MAE,0.8932839007746702,0.07115292549133301
Item_based,row_mean_prediction,,50,20,RMSE,1.03783377576626,0.10906410217285156
Item_based,row_mean_prediction,,50,20,MAE,0.8253601403741427,0.10906410217285156
Item_based,mean_prediction,,50,30,RMSE,1.0728674678275438,0.0724031925201416
Item_based,mean_prediction,,50,30,MAE,0.895717966242162,0.0724031925201416
Item_based,row_mean_prediction,,50,30,RMSE,1.0391865830894653,0.11124873161315918
Item_based,row_mean_prediction,,50,30,MAE,0.8239626443646851,0.11124873161315918
Item_based,mean_prediction,,50,50,RMSE,1.070957514254696,0.07348442077636719
Item_based,mean_prediction,,50,50,MAE,0.8948450970747901,0.07348442077636719
Item_based,row_mean_prediction,,50,50,RMSE,1.0341028433278026,0.10814619064331055
Item_based,row_mean_prediction,,50,50,MAE,0.8212834262682474,0.10814619064331055
Item_based,mean_prediction,,70,10,RMSE,1.0652262487684814,0.07073640823364258
Item_based,mean_prediction,,70,10,MAE,0.8911773191526183,0.07073640823364258
Item_based,row_mean_prediction,,70,10,RMSE,1.006218414292026,0.11312627792358398
Item_based,row_mean_prediction,,70,10,MAE,0.8021840332968996,0.11312627792358398
Item_based,mean_prediction,,70,20,RMSE,1.0693406023039116,0.07173609733581543
Item_based,mean_prediction,,70,20,MAE,0.8925878939639045,0.07173609733581543
Item_based,row_mean_prediction,,70,20,RMSE,1.0185862025440473,0.1089932918548584
Item_based,row_mean_prediction,,70,20,MAE,0.814234394542478,0.1089932918548584
Item_based,mean_prediction,,70,30,RMSE,1.0716307520609036,0.07189393043518066
Item_based,mean_prediction,,70,30,MAE,0.8959243740401608,0.07189393043518066
Item_based,row_mean_prediction,,70,30,RMSE,1.0125012323413007,0.10792016983032227
Item_based,row_mean_prediction,,70,30,MAE,0.8103097209854581,0.10792016983032227
Item_based,mean_prediction,,70,50,RMSE,1.0675187235775552,0.0709528923034668
Item_based,mean_prediction,,70,50,MAE,0.8902453075848864,0.0709528923034668
Item_based,row_mean_prediction,,70,50,RMSE,1.012424786252323,0.11416029930114746
Item_based,row_mean_prediction,,70,50,MAE,0.8112303756968312,0.11416029930114746
Item_based,mean_prediction,,90,10,RMSE,1.0642765650138508,0.07260489463806152
Item_based,mean_prediction,,90,10,MAE,0.8862698088997076,0.07260489463806152
Item_based,row_mean_prediction,,90,10,RMSE,1.003591673552884,0.11377334594726562
Item_based,row_mean_prediction,,90,10,MAE,0.8028498691128619,0.11377334594726562
Item_based,mean_prediction,,90,20,RMSE,1.0739699559725795,0.07458710670471191
Item_based,mean_prediction,,90,20,MAE,0.8977707436421467,0.07458710670471191
Item_based,row_mean_prediction,,90,20,RMSE,1.014467948956368,0.11939096450805664
Item_based,row_mean_prediction,,90,20,MAE,0.8151024313962137,0.11939096450805664
Item_based,mean_prediction,,90,30,RMSE,1.070015896329874,0.09047436714172363
Item_based,mean_prediction,,90,30,MAE,0.8921594867869004,0.09047436714172363
Item_based,row_mean_prediction,,90,30,RMSE,1.0090129037339062,0.10860967636108398
Item_based,row_mean_prediction,,90,30,MAE,0.8073323071025036,0.10860967636108398
Item_based,mean_prediction,,90,50,RMSE,1.063677878702805,0.07383131980895996
Item_based,mean_prediction,,90,50,MAE,0.8881068110377439,0.07383131980895996
Item_based,row_mean_prediction,,90,50,RMSE,1.0044092421148434,0.10987567901611328
Item_based,row_mean_prediction,,90,50,MAE,0.8040196352311093,0.10987567901611328
User_based,pearson_correlation,10,30,10,RMSE,1.5802086670588367,110.55908346176147
User_based,pearson_correlation,10,30,10,MAE,1.0177779800838722,110.55908346176147
User_based,pearson_correlation,10,30,10,Zero-one,0.20166870166870166,110.55908346176147
User_based,pearson_correlation,25,30,10,RMSE,1.2023143519612502,183.609277009964
User_based,pearson_correlation,25,30,10,MAE,0.772908322199385,183.609277009964
User_based,pearson_correlation,25,30,10,Zero-one,0.20604395604395603,183.609277009964
User_based,pearson_correlation,50,30,10,RMSE,0.9863960029643581,300.2809953689575
User_based,pearson_correlation,50,30,10,MAE,0.6575298466105162,300.2809953689575
User_based,pearson_correlation,50,30,10,Zero-one,0.1983109483109483,300.2809953689575
User_based,pearson_correlation,100,30,10,RMSE,0.8645556498117823,540.5981047153473
