Algorithm,Density,Rank,Rank_M,Shape,Num_iterations,Relative_error,Time,Data,RMSE
ASD,0.4,100,100,"(512, 512)",10000,0.00824600691786,96.3377034664154,boat.png,0.004453180714747703
ASD,0.5,100,100,"(512, 512)",10000,0.00663977231963,98.6986939907074,boat.png,0.0035874914197861507
ASD,0.6000000000000001,100,100,"(512, 512)",10000,0.00415718355372,98.45573139190674,boat.png,0.0022469599950486812
ASD,0.7000000000000001,100,100,"(512, 512)",10000,0.000258784278114,100.58536219596863,boat.png,0.00013981967131980198
ASD,0.8,100,100,"(512, 512)",8831,9.86706153476e-05,95.52044820785522,boat.png,5.330153087698375e-05
ASD,0.1,150,150,"(512, 512)",22,8.41457628456e-05,0.37705230712890625,boat.png,4.5464129403828416e-05
ASD,0.2,150,150,"(512, 512)",117,9.73343772566e-05,1.5238604545593262,boat.png,5.266833399864375e-05
ASD,0.30000000000000004,150,150,"(512, 512)",389,9.92831708846e-05,4.825101137161255,boat.png,5.3664331455553915e-05
ASD,0.4,150,150,"(512, 512)",3788,9.91555612978e-05,47.383349657058716,boat.png,5.361743825812428e-05
ASD,0.5,150,150,"(512, 512)",10000,0.00413331303364,129.73727130889893,boat.png,0.002234065456159336
ASD,0.6000000000000001,150,150,"(512, 512)",10000,0.00997387340845,126.57571625709534,boat.png,0.005391929935523027
ASD,0.7000000000000001,150,150,"(512, 512)",10000,0.007169215172,121.20153522491455,boat.png,0.003874093629892666
ASD,0.8,150,150,"(512, 512)",10000,0.00447257902302,119.51816320419312,boat.png,0.0024176828818527917
ASD,0.1,250,250,"(512, 512)",10,6.71375911217e-05,0.26134490966796875,boat.png,3.6369022263785484e-05
ASD,0.2,250,250,"(512, 512)",24,9.26193152491e-05,0.49212169647216797,boat.png,4.9981870691623084e-05
ASD,0.30000000000000004,250,250,"(512, 512)",72,9.552949637e-05,1.247084379196167,boat.png,5.170164235505512e-05
ASD,0.4,250,250,"(512, 512)",234,9.91750173884e-05,4.011924743652344,boat.png,5.365554194857068e-05
ASD,0.5,250,250,"(512, 512)",558,9.99691928707e-05,9.061822652816772,boat.png,5.404939794173102e-05
ASD,0.6000000000000001,250,250,"(512, 512)",4986,9.99739399456e-05,79.62206864356995,boat.png,5.401720071557044e-05
ASD,0.7000000000000001,250,250,"(512, 512)",10000,0.00306348778579,160.8488438129425,boat.png,0.0016561957007685119
ASD,0.8,250,250,"(512, 512)",10000,0.00831609191052,160.35884070396423,boat.png,0.004494665650025565
